metodo,x0_id,x0_x,x0_y,alpha_fijo,k_final,x_final,y_final,f_final,grad_norm_final,motivo_stop
paso_fijo,0,-3.0,3.0,0.01,200,-2.5089742698607465,4.012202542647131,2.620255576122705,0.35074764377088713,max_iter
paso_fijo,0,-3.0,3.0,0.05,200,-11.948948529815564,13.925123419753877,33.790484902607915,3.137605222270542,max_iter
paso_fijo,0,-3.0,3.0,0.1,200,-91.00602575156822,92.98340817005568,1692.7709284682776,26.164853733644936,max_iter
paso_optimo_golden,0,-3.0,3.0,,200,-1.1238246799954612e+16,1.1238246799954614e+16,2.525963822733802e+31,3178656208358370.5,max_iter
paso_fijo,1,-1.0,4.0,0.01,200,-1.749350914648643,4.085268889434668,2.5524508045597787,0.24647715070987983,max_iter
paso_fijo,1,-1.0,4.0,0.05,200,-6.773782438810777,8.752320608726569,12.617304045324794,2.891168461913452,max_iter
paso_fijo,1,-1.0,4.0,0.1,200,-53.856251812755474,55.83363543666124,602.1169409813483,16.194757362283653,max_iter
paso_optimo_golden,1,-1.0,4.0,,200,-7804350600850877.0,7804350600850879.0,1.2181577660200291e+31,2207403693047585.2,max_iter
paso_fijo,2,0.0,0.0,0.01,200,1.5032282727863853,0.0,1.2236876713861957,0.36816230729626837,max_iter
paso_fijo,2,0.0,0.0,0.05,200,1.97617488993831,0.0,1.3094798898928106,0.0008683075660266826,max_iter
paso_fijo,2,0.0,0.0,0.1,128,1.9772520036596934,0.0,1.3094804081856155,9.414219957537551e-05,tol_grad
paso_optimo_golden,2,0.0,0.0,,8,1.9772863731404278,0.0,1.309480410996852,6.944700366390277e-05,tol_grad
paso_fijo,3,2.5,-0.5,0.01,200,2.1593370721745524,-0.17658090261147588,1.2882097190184454,0.15943426948913078,max_iter
paso_fijo,3,2.5,-0.5,0.05,200,1.9779681594629075,-0.0005700104528821247,1.309480174688245,0.0005867203462199686,max_iter
paso_fijo,3,2.5,-0.5,0.1,123,1.9774767835282188,-9.138525405933167e-05,1.309480408195533,9.406102245200505e-05,tol_grad
paso_optimo_golden,3,2.5,-0.5,,9,1.9774116745672208,-2.8388293112213307e-05,1.3094804137687892,2.8975113888369292e-05,tol_grad
